start_date,end_date,updated_date_x,forecast_value,production_type,updated_date_y,actual_value
2026-07-06T00:00:00+02:00,2026-07-06T01:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-07T00:55:24+02:00,0.0
2026-07-06T01:00:00+02:00,2026-07-06T02:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T02:55:33+02:00,0.0
2026-07-06T02:00:00+02:00,2026-07-06T03:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T03:55:30+02:00,0.0
2026-07-06T03:00:00+02:00,2026-07-06T04:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T04:57:05+02:00,0.0
2026-07-06T04:00:00+02:00,2026-07-06T05:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T05:57:08+02:00,191.0
2026-07-06T05:00:00+02:00,2026-07-06T06:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T06:57:06+02:00,198.0
2026-07-06T06:00:00+02:00,2026-07-06T07:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T07:57:07+02:00,496.0
2026-07-06T07:00:00+02:00,2026-07-06T08:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T08:57:08+02:00,2197.0
2026-07-06T08:00:00+02:00,2026-07-06T09:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T09:57:10+02:00,6232.0
2026-07-06T09:00:00+02:00,2026-07-06T10:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T10:57:16+02:00,11610.0
2026-07-06T10:00:00+02:00,2026-07-06T11:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T11:57:16+02:00,16326.0
2026-07-06T11:00:00+02:00,2026-07-06T12:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T12:57:24+02:00,19592.0
2026-07-06T12:00:00+02:00,2026-07-06T13:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T13:57:29+02:00,21289.0
2026-07-06T13:00:00+02:00,2026-07-06T14:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T14:57:37+02:00,21826.0
2026-07-06T14:00:00+02:00,2026-07-06T15:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T15:57:36+02:00,21535.0
2026-07-06T15:00:00+02:00,2026-07-06T16:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T16:57:40+02:00,20784.0
2026-07-06T16:00:00+02:00,2026-07-06T17:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T17:57:40+02:00,18993.0
2026-07-06T17:00:00+02:00,2026-07-06T18:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T18:57:42+02:00,15980.0
2026-07-06T18:00:00+02:00,2026-07-06T19:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T19:57:43+02:00,11742.0
2026-07-06T19:00:00+02:00,2026-07-06T20:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T20:57:46+02:00,6647.0
2026-07-06T20:00:00+02:00,2026-07-06T21:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T21:57:48+02:00,2398.0
2026-07-06T21:00:00+02:00,2026-07-06T22:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T22:57:53+02:00,555.0
2026-07-06T22:00:00+02:00,2026-07-06T23:00:00+02:00,2026-07-05T16:15:00+02:00,0.0,SOLAR,2026-07-06T23:57:54+02:00,199.0
2026-07-06T23:00:00+02:00,2026-07-07T00:00:00+02:00,2026-07-05T16:15:00+02:00,13.36,SOLAR,2026-07-07T00:55:24+02:00,0.0
2026-07-07T00:00:00+02:00,2026-07-07T01:00:00+02:00,2026-07-05T16:15:00+02:00,59.83,SOLAR,,
2026-07-07T01:00:00+02:00,2026-07-07T02:00:00+02:00,2026-07-05T16:15:00+02:00,160.73,SOLAR,,
2026-07-07T02:00:00+02:00,2026-07-07T03:00:00+02:00,2026-07-05T16:15:00+02:00,281.22,SOLAR,,
2026-07-07T03:00:00+02:00,2026-07-07T04:00:00+02:00,2026-07-05T16:15:00+02:00,638.34,SOLAR,,
2026-07-07T04:00:00+02:00,2026-07-07T05:00:00+02:00,2026-07-05T16:15:00+02:00,1078.26,SOLAR,,
2026-07-07T05:00:00+02:00,2026-07-07T06:00:00+02:00,2026-07-05T16:15:00+02:00,1629.94,SOLAR,,
2026-07-07T06:00:00+02:00,2026-07-07T07:00:00+02:00,2026-07-05T16:15:00+02:00,2226.56,SOLAR,,
2026-07-07T07:00:00+02:00,2026-07-07T08:00:00+02:00,2026-07-05T16:15:00+02:00,3159.09,SOLAR,,
2026-07-07T08:00:00+02:00,2026-07-07T09:00:00+02:00,2026-07-05T16:15:00+02:00,4132.57,SOLAR,,
