start_date,end_date,updated_date_x,forecast_value,production_type,updated_date_y,actual_value
2026-03-14T00:00:00+01:00,2026-03-14T01:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-15T00:59:32+01:00,0.0
2026-03-14T01:00:00+01:00,2026-03-14T02:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T02:59:49+01:00,0.0
2026-03-14T02:00:00+01:00,2026-03-14T03:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T03:59:58+01:00,0.0
2026-03-14T03:00:00+01:00,2026-03-14T04:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T04:59:59+01:00,0.0
2026-03-14T04:00:00+01:00,2026-03-14T05:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T05:55:02+01:00,0.0
2026-03-14T05:00:00+01:00,2026-03-14T06:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T06:55:07+01:00,0.0
2026-03-14T06:00:00+01:00,2026-03-14T07:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T07:55:08+01:00,255.0
2026-03-14T07:00:00+01:00,2026-03-14T08:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T08:56:53+01:00,534.0
2026-03-14T08:00:00+01:00,2026-03-14T09:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T09:56:54+01:00,1910.0
2026-03-14T09:00:00+01:00,2026-03-14T10:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T10:56:58+01:00,4732.0
2026-03-14T10:00:00+01:00,2026-03-14T11:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T11:56:58+01:00,7766.0
2026-03-14T11:00:00+01:00,2026-03-14T12:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T12:57:01+01:00,10014.0
2026-03-14T12:00:00+01:00,2026-03-14T13:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T13:57:07+01:00,11509.0
2026-03-14T13:00:00+01:00,2026-03-14T14:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T14:57:08+01:00,11872.0
2026-03-14T14:00:00+01:00,2026-03-14T15:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T15:57:09+01:00,11503.0
2026-03-14T15:00:00+01:00,2026-03-14T16:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T16:57:09+01:00,9956.0
2026-03-14T16:00:00+01:00,2026-03-14T17:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T17:57:11+01:00,7450.0
2026-03-14T17:00:00+01:00,2026-03-14T18:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T18:57:11+01:00,4231.0
2026-03-14T18:00:00+01:00,2026-03-14T19:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T19:57:18+01:00,1034.0
2026-03-14T19:00:00+01:00,2026-03-14T20:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T20:58:19+01:00,228.0
2026-03-14T20:00:00+01:00,2026-03-14T21:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T21:58:20+01:00,0.0
2026-03-14T21:00:00+01:00,2026-03-14T22:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T22:58:20+01:00,0.0
2026-03-14T22:00:00+01:00,2026-03-14T23:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-14T23:58:21+01:00,0.0
2026-03-14T23:00:00+01:00,2026-03-15T00:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,2026-03-15T00:59:32+01:00,0.0
2026-03-15T00:00:00+01:00,2026-03-15T01:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,,
2026-03-15T01:00:00+01:00,2026-03-15T02:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,,
2026-03-15T02:00:00+01:00,2026-03-15T03:00:00+01:00,2026-03-13T16:15:00+01:00,0,SOLAR,,
2026-03-15T03:00:00+01:00,2026-03-15T04:00:00+01:00,2026-03-13T16:15:00+01:00,3,SOLAR,,
