start_date,end_date,updated_date_x,forecast_value,production_type,updated_date_y,actual_value
2026-04-20T00:00:00+02:00,2026-04-20T01:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-21T00:55:39+02:00,0.0
2026-04-20T01:00:00+02:00,2026-04-20T02:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T02:58:40+02:00,0.0
2026-04-20T02:00:00+02:00,2026-04-20T03:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T03:58:39+02:00,0.0
2026-04-20T03:00:00+02:00,2026-04-20T04:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T04:58:40+02:00,0.0
2026-04-20T04:00:00+02:00,2026-04-20T05:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T05:58:42+02:00,0.0
2026-04-20T05:00:00+02:00,2026-04-20T06:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T06:58:44+02:00,180.0
2026-04-20T06:00:00+02:00,2026-04-20T07:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T07:58:46+02:00,196.0
2026-04-20T07:00:00+02:00,2026-04-20T08:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T08:58:47+02:00,799.0
2026-04-20T08:00:00+02:00,2026-04-20T09:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T09:58:46+02:00,3550.0
2026-04-20T09:00:00+02:00,2026-04-20T10:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T10:58:48+02:00,7942.0
2026-04-20T10:00:00+02:00,2026-04-20T11:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T11:58:48+02:00,12312.0
2026-04-20T11:00:00+02:00,2026-04-20T12:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T12:58:50+02:00,15664.0
2026-04-20T12:00:00+02:00,2026-04-20T13:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T13:58:52+02:00,17745.0
2026-04-20T13:00:00+02:00,2026-04-20T14:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T14:58:54+02:00,18516.0
2026-04-20T14:00:00+02:00,2026-04-20T15:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T15:58:55+02:00,17929.0
2026-04-20T15:00:00+02:00,2026-04-20T16:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T16:58:58+02:00,16835.0
2026-04-20T16:00:00+02:00,2026-04-20T17:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T17:59:04+02:00,14574.0
2026-04-20T17:00:00+02:00,2026-04-20T18:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T18:59:12+02:00,11582.0
2026-04-20T18:00:00+02:00,2026-04-20T19:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T19:59:14+02:00,7319.0
2026-04-20T19:00:00+02:00,2026-04-20T20:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T20:59:15+02:00,3030.0
2026-04-20T20:00:00+02:00,2026-04-20T21:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T21:59:18+02:00,616.0
2026-04-20T21:00:00+02:00,2026-04-20T22:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T22:59:20+02:00,0.0
2026-04-20T22:00:00+02:00,2026-04-20T23:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-20T23:54:22+02:00,0.0
2026-04-20T23:00:00+02:00,2026-04-21T00:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,2026-04-21T00:55:39+02:00,0.0
2026-04-21T00:00:00+02:00,2026-04-21T01:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,,
2026-04-21T01:00:00+02:00,2026-04-21T02:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,,
2026-04-21T02:00:00+02:00,2026-04-21T03:00:00+02:00,2026-04-19T16:15:00+02:00,0,SOLAR,,
2026-04-21T03:00:00+02:00,2026-04-21T04:00:00+02:00,2026-04-19T16:15:00+02:00,12,SOLAR,,
2026-04-21T04:00:00+02:00,2026-04-21T05:00:00+02:00,2026-04-19T16:15:00+02:00,116,SOLAR,,
2026-04-21T05:00:00+02:00,2026-04-21T06:00:00+02:00,2026-04-19T16:15:00+02:00,349,SOLAR,,
2026-04-21T06:00:00+02:00,2026-04-21T07:00:00+02:00,2026-04-19T16:15:00+02:00,568,SOLAR,,
2026-04-21T07:00:00+02:00,2026-04-21T08:00:00+02:00,2026-04-19T16:15:00+02:00,1071,SOLAR,,
2026-04-21T08:00:00+02:00,2026-04-21T09:00:00+02:00,2026-04-19T16:15:00+02:00,1702,SOLAR,,
2026-04-21T09:00:00+02:00,2026-04-21T10:00:00+02:00,2026-04-19T16:15:00+02:00,2671,SOLAR,,
2026-04-21T10:00:00+02:00,2026-04-21T11:00:00+02:00,2026-04-19T16:15:00+02:00,3477,SOLAR,,
2026-04-21T11:00:00+02:00,2026-04-21T12:00:00+02:00,2026-04-19T16:15:00+02:00,4762,SOLAR,,
2026-04-21T12:00:00+02:00,2026-04-21T13:00:00+02:00,2026-04-19T16:15:00+02:00,5864,SOLAR,,
2026-04-21T13:00:00+02:00,2026-04-21T14:00:00+02:00,2026-04-19T16:15:00+02:00,7245,SOLAR,,
2026-04-21T14:00:00+02:00,2026-04-21T15:00:00+02:00,2026-04-19T16:15:00+02:00,8346,SOLAR,,
2026-04-21T15:00:00+02:00,2026-04-21T16:00:00+02:00,2026-04-19T16:15:00+02:00,9585,SOLAR,,
2026-04-21T16:00:00+02:00,2026-04-21T17:00:00+02:00,2026-04-19T16:15:00+02:00,10693,SOLAR,,
2026-04-21T17:00:00+02:00,2026-04-21T18:00:00+02:00,2026-04-19T16:15:00+02:00,11910,SOLAR,,
2026-04-21T18:00:00+02:00,2026-04-21T19:00:00+02:00,2026-04-19T16:15:00+02:00,12935,SOLAR,,
2026-04-21T19:00:00+02:00,2026-04-21T20:00:00+02:00,2026-04-19T16:15:00+02:00,13884,SOLAR,,
2026-04-21T20:00:00+02:00,2026-04-21T21:00:00+02:00,2026-04-19T16:15:00+02:00,14768,SOLAR,,
2026-04-21T21:00:00+02:00,2026-04-21T22:00:00+02:00,2026-04-19T16:15:00+02:00,15578,SOLAR,,
2026-04-21T22:00:00+02:00,2026-04-21T23:00:00+02:00,2026-04-19T16:15:00+02:00,16354,SOLAR,,
