start_date,end_date,updated_date_x,forecast_value,production_type,updated_date_y,actual_value
2025-07-11T00:00:00+02:00,2025-07-11T01:00:00+02:00,,,SOLAR,2025-07-11T00:12:33+02:00,0.0
2025-07-11T01:00:00+02:00,2025-07-11T02:00:00+02:00,,,SOLAR,2025-07-11T00:36:05+02:00,0.0
2025-07-11T02:00:00+02:00,2025-07-11T03:00:00+02:00,,,SOLAR,2025-07-11T01:35:58+02:00,0.0
2025-07-11T03:00:00+02:00,2025-07-11T04:00:00+02:00,,,SOLAR,2025-07-11T02:36:03+02:00,0.0
2025-07-11T04:00:00+02:00,2025-07-11T05:00:00+02:00,,,SOLAR,2025-07-11T03:36:00+02:00,0.0
2025-07-11T05:00:00+02:00,2025-07-11T06:00:00+02:00,,,SOLAR,2025-07-11T04:36:10+02:00,254.0
2025-07-11T06:00:00+02:00,2025-07-11T07:00:00+02:00,,,SOLAR,2025-07-11T05:35:58+02:00,635.0
2025-07-11T07:00:00+02:00,2025-07-11T08:00:00+02:00,,,SOLAR,2025-07-11T06:36:00+02:00,2245.0
2025-07-11T08:00:00+02:00,2025-07-11T09:00:00+02:00,,,SOLAR,2025-07-11T07:36:03+02:00,5834.0
2025-07-11T09:00:00+02:00,2025-07-11T10:00:00+02:00,,,SOLAR,2025-07-11T08:36:00+02:00,10330.0
2025-07-11T10:00:00+02:00,2025-07-11T11:00:00+02:00,,,SOLAR,2025-07-11T09:36:01+02:00,14283.0
2025-07-11T11:00:00+02:00,2025-07-11T12:00:00+02:00,,,SOLAR,2025-07-11T10:36:05+02:00,17014.0
2025-07-11T12:00:00+02:00,2025-07-11T13:00:00+02:00,,,SOLAR,2025-07-11T11:36:03+02:00,18526.0
2025-07-11T13:00:00+02:00,2025-07-11T14:00:00+02:00,,,SOLAR,2025-07-11T12:36:02+02:00,18892.0
2025-07-11T14:00:00+02:00,2025-07-11T15:00:00+02:00,,,SOLAR,2025-07-11T13:36:11+02:00,18609.0
2025-07-11T15:00:00+02:00,2025-07-11T16:00:00+02:00,,,SOLAR,2025-07-11T14:36:11+02:00,17555.0
2025-07-11T16:00:00+02:00,2025-07-11T17:00:00+02:00,,,SOLAR,2025-07-11T15:36:08+02:00,15704.0
2025-07-11T17:00:00+02:00,2025-07-11T18:00:00+02:00,,,SOLAR,2025-07-11T16:36:05+02:00,12620.0
2025-07-11T18:00:00+02:00,2025-07-11T19:00:00+02:00,,,SOLAR,2025-07-11T17:36:09+02:00,8660.0
2025-07-11T19:00:00+02:00,2025-07-11T20:00:00+02:00,,,SOLAR,2025-07-11T18:36:02+02:00,4553.0
2025-07-11T20:00:00+02:00,2025-07-11T21:00:00+02:00,,,SOLAR,2025-07-11T19:36:00+02:00,1582.0
2025-07-11T21:00:00+02:00,2025-07-11T22:00:00+02:00,,,SOLAR,2025-07-11T20:36:07+02:00,439.0
2025-07-11T22:00:00+02:00,2025-07-11T23:00:00+02:00,,,SOLAR,2025-07-11T21:36:04+02:00,247.0
2025-07-13T00:00:00+02:00,2025-07-13T01:00:00+02:00,2025-07-12T16:36:00+02:00,0.0,SOLAR,,
2025-07-13T01:00:00+02:00,2025-07-13T02:00:00+02:00,2025-07-12T16:36:00+02:00,0.0,SOLAR,,
2025-07-13T02:00:00+02:00,2025-07-13T03:00:00+02:00,2025-07-12T16:36:00+02:00,0.0,SOLAR,,
2025-07-13T03:00:00+02:00,2025-07-13T04:00:00+02:00,2025-07-12T16:36:00+02:00,0.0,SOLAR,,
2025-07-13T04:00:00+02:00,2025-07-13T05:00:00+02:00,2025-07-12T16:36:00+02:00,0.0,SOLAR,,
2025-07-13T05:00:00+02:00,2025-07-13T06:00:00+02:00,2025-07-12T16:36:00+02:00,0.0,SOLAR,,
2025-07-13T06:00:00+02:00,2025-07-13T07:00:00+02:00,2025-07-12T16:36:00+02:00,4.88,SOLAR,,
2025-07-13T07:00:00+02:00,2025-07-13T08:00:00+02:00,2025-07-12T16:36:00+02:00,649.14,SOLAR,,
2025-07-13T08:00:00+02:00,2025-07-13T09:00:00+02:00,2025-07-12T16:36:00+02:00,2664.4,SOLAR,,
2025-07-13T09:00:00+02:00,2025-07-13T10:00:00+02:00,2025-07-12T16:36:00+02:00,6159.11,SOLAR,,
2025-07-13T10:00:00+02:00,2025-07-13T11:00:00+02:00,2025-07-12T16:36:00+02:00,10203.55,SOLAR,,
2025-07-13T11:00:00+02:00,2025-07-13T12:00:00+02:00,2025-07-12T16:36:00+02:00,13624.65,SOLAR,,
2025-07-13T12:00:00+02:00,2025-07-13T13:00:00+02:00,2025-07-12T16:36:00+02:00,16038.62,SOLAR,,
2025-07-13T13:00:00+02:00,2025-07-13T14:00:00+02:00,2025-07-12T16:36:00+02:00,17508.77,SOLAR,,
2025-07-13T14:00:00+02:00,2025-07-13T15:00:00+02:00,2025-07-12T16:36:00+02:00,18146.71,SOLAR,,
2025-07-13T15:00:00+02:00,2025-07-13T16:00:00+02:00,2025-07-12T16:36:00+02:00,17844.31,SOLAR,,
2025-07-13T16:00:00+02:00,2025-07-13T17:00:00+02:00,2025-07-12T16:36:00+02:00,16602.62,SOLAR,,
2025-07-13T17:00:00+02:00,2025-07-13T18:00:00+02:00,2025-07-12T16:36:00+02:00,14509.8,SOLAR,,
2025-07-13T18:00:00+02:00,2025-07-13T19:00:00+02:00,2025-07-12T16:36:00+02:00,11377.0,SOLAR,,
2025-07-13T19:00:00+02:00,2025-07-13T20:00:00+02:00,2025-07-12T16:36:00+02:00,7423.07,SOLAR,,
2025-07-13T20:00:00+02:00,2025-07-13T21:00:00+02:00,2025-07-12T16:36:00+02:00,3697.24,SOLAR,,
2025-07-13T21:00:00+02:00,2025-07-13T22:00:00+02:00,2025-07-12T16:36:00+02:00,1166.93,SOLAR,,
2025-07-13T22:00:00+02:00,2025-07-13T23:00:00+02:00,2025-07-12T16:36:00+02:00,159.42,SOLAR,,
2025-07-13T23:00:00+02:00,2025-07-14T00:00:00+02:00,2025-07-12T16:36:00+02:00,0.0,SOLAR,,
2025-07-11T00:00:00+02:00,2025-07-11T01:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T00:12:33+02:00,466.0
2025-07-11T01:00:00+02:00,2025-07-11T02:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T00:36:05+02:00,551.0
2025-07-11T02:00:00+02:00,2025-07-11T03:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T01:35:58+02:00,501.0
2025-07-11T03:00:00+02:00,2025-07-11T04:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T02:36:03+02:00,543.0
2025-07-11T04:00:00+02:00,2025-07-11T05:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T03:36:00+02:00,542.0
2025-07-11T05:00:00+02:00,2025-07-11T06:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T04:36:10+02:00,504.0
2025-07-11T06:00:00+02:00,2025-07-11T07:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T05:35:58+02:00,490.0
2025-07-11T07:00:00+02:00,2025-07-11T08:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T06:36:00+02:00,500.0
2025-07-11T08:00:00+02:00,2025-07-11T09:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T07:36:03+02:00,431.0
2025-07-11T09:00:00+02:00,2025-07-11T10:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T08:36:00+02:00,322.0
2025-07-11T10:00:00+02:00,2025-07-11T11:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T09:36:01+02:00,203.0
2025-07-11T11:00:00+02:00,2025-07-11T12:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T10:36:05+02:00,151.0
2025-07-11T12:00:00+02:00,2025-07-11T13:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T11:36:03+02:00,214.0
2025-07-11T13:00:00+02:00,2025-07-11T14:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T12:36:02+02:00,339.0
2025-07-11T14:00:00+02:00,2025-07-11T15:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T13:36:11+02:00,392.0
2025-07-11T15:00:00+02:00,2025-07-11T16:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T14:36:11+02:00,443.0
2025-07-11T16:00:00+02:00,2025-07-11T17:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T15:36:08+02:00,463.0
2025-07-11T17:00:00+02:00,2025-07-11T18:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T16:36:05+02:00,529.0
2025-07-11T18:00:00+02:00,2025-07-11T19:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T17:36:09+02:00,598.0
2025-07-11T19:00:00+02:00,2025-07-11T20:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T18:36:02+02:00,731.0
2025-07-11T20:00:00+02:00,2025-07-11T21:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T19:36:00+02:00,934.0
2025-07-11T21:00:00+02:00,2025-07-11T22:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T20:36:07+02:00,966.0
2025-07-11T22:00:00+02:00,2025-07-11T23:00:00+02:00,,,WIND_OFFSHORE,2025-07-11T21:36:04+02:00,916.0
2025-07-13T00:00:00+02:00,2025-07-13T01:00:00+02:00,2025-07-12T17:06:00+02:00,837.75,WIND_OFFSHORE,,
2025-07-13T01:00:00+02:00,2025-07-13T02:00:00+02:00,2025-07-12T17:06:00+02:00,750.5,WIND_OFFSHORE,,
2025-07-13T02:00:00+02:00,2025-07-13T03:00:00+02:00,2025-07-12T17:06:00+02:00,643.25,WIND_OFFSHORE,,
2025-07-13T03:00:00+02:00,2025-07-13T04:00:00+02:00,2025-07-12T17:06:00+02:00,557.75,WIND_OFFSHORE,,
2025-07-13T04:00:00+02:00,2025-07-13T05:00:00+02:00,2025-07-12T17:06:00+02:00,482.25,WIND_OFFSHORE,,
2025-07-13T05:00:00+02:00,2025-07-13T06:00:00+02:00,2025-07-12T17:06:00+02:00,403.0,WIND_OFFSHORE,,
2025-07-13T06:00:00+02:00,2025-07-13T07:00:00+02:00,2025-07-12T17:06:00+02:00,347.5,WIND_OFFSHORE,,
2025-07-13T07:00:00+02:00,2025-07-13T08:00:00+02:00,2025-07-12T17:06:00+02:00,297.5,WIND_OFFSHORE,,
2025-07-13T08:00:00+02:00,2025-07-13T09:00:00+02:00,2025-07-12T17:06:00+02:00,273.25,WIND_OFFSHORE,,
2025-07-13T09:00:00+02:00,2025-07-13T10:00:00+02:00,2025-07-12T17:06:00+02:00,257.5,WIND_OFFSHORE,,
2025-07-13T10:00:00+02:00,2025-07-13T11:00:00+02:00,2025-07-12T17:06:00+02:00,227.25,WIND_OFFSHORE,,
2025-07-13T11:00:00+02:00,2025-07-13T12:00:00+02:00,2025-07-12T17:06:00+02:00,218.5,WIND_OFFSHORE,,
2025-07-13T12:00:00+02:00,2025-07-13T13:00:00+02:00,2025-07-12T17:06:00+02:00,231.25,WIND_OFFSHORE,,
2025-07-13T13:00:00+02:00,2025-07-13T14:00:00+02:00,2025-07-12T17:06:00+02:00,255.0,WIND_OFFSHORE,,
2025-07-13T14:00:00+02:00,2025-07-13T15:00:00+02:00,2025-07-12T17:06:00+02:00,325.75,WIND_OFFSHORE,,
2025-07-13T15:00:00+02:00,2025-07-13T16:00:00+02:00,2025-07-12T17:06:00+02:00,387.5,WIND_OFFSHORE,,
2025-07-13T16:00:00+02:00,2025-07-13T17:00:00+02:00,2025-07-12T17:06:00+02:00,430.25,WIND_OFFSHORE,,
2025-07-13T17:00:00+02:00,2025-07-13T18:00:00+02:00,2025-07-12T17:06:00+02:00,445.0,WIND_OFFSHORE,,
2025-07-13T18:00:00+02:00,2025-07-13T19:00:00+02:00,2025-07-12T17:06:00+02:00,654.5,WIND_OFFSHORE,,
2025-07-13T19:00:00+02:00,2025-07-13T20:00:00+02:00,2025-07-12T17:06:00+02:00,677.25,WIND_OFFSHORE,,
2025-07-13T20:00:00+02:00,2025-07-13T21:00:00+02:00,2025-07-12T17:06:00+02:00,595.5,WIND_OFFSHORE,,
2025-07-13T21:00:00+02:00,2025-07-13T22:00:00+02:00,2025-07-12T17:06:00+02:00,611.25,WIND_OFFSHORE,,
2025-07-13T22:00:00+02:00,2025-07-13T23:00:00+02:00,2025-07-12T17:06:00+02:00,550.25,WIND_OFFSHORE,,
2025-07-13T23:00:00+02:00,2025-07-14T00:00:00+02:00,2025-07-12T17:06:00+02:00,571.75,WIND_OFFSHORE,,
2025-07-11T00:00:00+02:00,2025-07-11T01:00:00+02:00,,,WIND_ONSHORE,2025-07-11T00:12:33+02:00,4021.0
2025-07-11T01:00:00+02:00,2025-07-11T02:00:00+02:00,,,WIND_ONSHORE,2025-07-11T00:36:05+02:00,4084.0
2025-07-11T02:00:00+02:00,2025-07-11T03:00:00+02:00,,,WIND_ONSHORE,2025-07-11T01:35:58+02:00,3826.0
2025-07-11T03:00:00+02:00,2025-07-11T04:00:00+02:00,,,WIND_ONSHORE,2025-07-11T02:36:03+02:00,3643.0
2025-07-11T04:00:00+02:00,2025-07-11T05:00:00+02:00,,,WIND_ONSHORE,2025-07-11T03:36:00+02:00,3576.0
2025-07-11T05:00:00+02:00,2025-07-11T06:00:00+02:00,,,WIND_ONSHORE,2025-07-11T04:36:10+02:00,3379.0
2025-07-11T06:00:00+02:00,2025-07-11T07:00:00+02:00,,,WIND_ONSHORE,2025-07-11T05:35:58+02:00,3319.0
2025-07-11T07:00:00+02:00,2025-07-11T08:00:00+02:00,,,WIND_ONSHORE,2025-07-11T06:36:00+02:00,2955.0
2025-07-11T08:00:00+02:00,2025-07-11T09:00:00+02:00,,,WIND_ONSHORE,2025-07-11T07:36:03+02:00,1837.0
2025-07-11T09:00:00+02:00,2025-07-11T10:00:00+02:00,,,WIND_ONSHORE,2025-07-11T08:36:00+02:00,1284.0
2025-07-11T10:00:00+02:00,2025-07-11T11:00:00+02:00,,,WIND_ONSHORE,2025-07-11T09:36:01+02:00,1827.0
2025-07-11T11:00:00+02:00,2025-07-11T12:00:00+02:00,,,WIND_ONSHORE,2025-07-11T10:36:05+02:00,2706.0
2025-07-11T12:00:00+02:00,2025-07-11T13:00:00+02:00,,,WIND_ONSHORE,2025-07-11T11:36:03+02:00,2946.0
2025-07-11T13:00:00+02:00,2025-07-11T14:00:00+02:00,,,WIND_ONSHORE,2025-07-11T12:36:02+02:00,2906.0
2025-07-11T14:00:00+02:00,2025-07-11T15:00:00+02:00,,,WIND_ONSHORE,2025-07-11T13:36:11+02:00,2968.0
2025-07-11T15:00:00+02:00,2025-07-11T16:00:00+02:00,,,WIND_ONSHORE,2025-07-11T14:36:11+02:00,3180.0
2025-07-11T16:00:00+02:00,2025-07-11T17:00:00+02:00,,,WIND_ONSHORE,2025-07-11T15:36:08+02:00,3445.0
