start_date,end_date,updated_date_x,forecast_value,production_type,updated_date_y,actual_value
2025-07-17T00:00:00+02:00,2025-07-17T01:00:00+02:00,2025-07-16T16:30:00+02:00,0.0,SOLAR,2025-07-18T00:11:24+02:00,0
2025-07-17T01:00:00+02:00,2025-07-17T02:00:00+02:00,2025-07-16T16:30:00+02:00,0.0,SOLAR,2025-07-18T00:11:24+02:00,0
2025-07-17T02:00:00+02:00,2025-07-17T03:00:00+02:00,2025-07-16T16:30:00+02:00,0.0,SOLAR,2025-07-18T00:12:36+02:00,0
2025-07-17T03:00:00+02:00,2025-07-17T04:00:00+02:00,2025-07-16T16:30:00+02:00,0.0,SOLAR,2025-07-18T00:12:36+02:00,0
2025-07-17T04:00:00+02:00,2025-07-17T05:00:00+02:00,2025-07-16T16:30:00+02:00,0.0,SOLAR,2025-07-18T00:12:36+02:00,0
2025-07-17T05:00:00+02:00,2025-07-17T06:00:00+02:00,2025-07-16T16:30:00+02:00,0.0,SOLAR,2025-07-18T00:12:36+02:00,235
2025-07-17T06:00:00+02:00,2025-07-17T07:00:00+02:00,2025-07-16T16:30:00+02:00,1.59,SOLAR,2025-07-18T00:12:36+02:00,532
2025-07-17T07:00:00+02:00,2025-07-17T08:00:00+02:00,2025-07-16T16:30:00+02:00,587.05,SOLAR,2025-07-18T00:12:36+02:00,1924
2025-07-17T08:00:00+02:00,2025-07-17T09:00:00+02:00,2025-07-16T16:30:00+02:00,2599.44,SOLAR,2025-07-18T00:12:36+02:00,5255
2025-07-17T09:00:00+02:00,2025-07-17T10:00:00+02:00,2025-07-16T16:30:00+02:00,6131.67,SOLAR,2025-07-18T00:12:36+02:00,9404
2025-07-17T10:00:00+02:00,2025-07-17T11:00:00+02:00,2025-07-16T16:30:00+02:00,10201.01,SOLAR,2025-07-18T00:12:36+02:00,12801
2025-07-17T11:00:00+02:00,2025-07-17T12:00:00+02:00,2025-07-16T16:30:00+02:00,13546.5,SOLAR,2025-07-18T00:12:36+02:00,14940
2025-07-17T12:00:00+02:00,2025-07-17T13:00:00+02:00,2025-07-16T16:30:00+02:00,16039.16,SOLAR,2025-07-18T00:12:36+02:00,16345
2025-07-17T13:00:00+02:00,2025-07-17T14:00:00+02:00,2025-07-16T16:30:00+02:00,17657.58,SOLAR,2025-07-18T00:12:36+02:00,16583
2025-07-17T14:00:00+02:00,2025-07-17T15:00:00+02:00,2025-07-16T16:30:00+02:00,18266.72,SOLAR,2025-07-18T00:12:36+02:00,16801
2025-07-17T15:00:00+02:00,2025-07-17T16:00:00+02:00,2025-07-16T16:30:00+02:00,18111.85,SOLAR,2025-07-18T00:12:36+02:00,16282
2025-07-17T16:00:00+02:00,2025-07-17T17:00:00+02:00,2025-07-16T16:30:00+02:00,17052.95,SOLAR,2025-07-18T00:12:36+02:00,14896
2025-07-17T17:00:00+02:00,2025-07-17T18:00:00+02:00,2025-07-16T16:30:00+02:00,14976.54,SOLAR,2025-07-18T00:12:36+02:00,12282
